Department,Voted,Eamon_Evans,Ross_Starkie,Nic_Turner,Saorsa_Amatheia_Tweedale_Jefferson_Welsby,Re_Open_Nominations,Winner
Acas,false,,,,,,
Cabinet Office,true,2,3,4,1,5,Saorsa-Amatheia Tweedale and Jefferson Welsby
Care Quality Commission,false,,,,,,
Coal Authority,false,,,,,,
Companies House,false,,,,,,
Competition and Markets Authority,true,2,2,1,2,2,Nic Turner
Crown Commercial Service,false,,,,,,
Crown Prosecution Service,false,,,,,,
Department for Business and Trade,false,,,,,,
"Department for Culture, Media and Sport",false,,,,,,
Department for Education,true,2,4,3,1,5,Saorsa-Amatheia Tweedale and Jefferson Welsby
"Department for the Environment, Food and Rural Affairs",false,,,,,,
"Department for Levelling Up, Housing and Communities",true,2,3,4,1,,Saorsa-Amatheia Tweedale and Jefferson Welsby
Department for Transport,false,,,,,,
Department of Health and Social Care,false,,,,,,
Department of Work and Pensions,true,2,2,4,1,5,Saorsa-Amatheia Tweedale and Jefferson Welsby
Driver & Vehicle Standards Agency,true,3,1,2,4,5,Ross Starkie
Equality and Human Rights Commission,true,2,2,2,1,2,Saorsa-Amatheia Tweedale and Jefferson Welsby
Environment Agency,false,,,,,,
Fast Stream,false,,,,,,
Financial Reporting Council,false,,,,,,
Food Standards Agency,true,2,1,2,2,2,Ross Starkie
"Foreign, Commonwealth and Development Office",false,,,,,,
Forestry Commission,false,,,,,,
GCHQ,false,,,,,,
Government Legal Department,true,3,4,1,2,4,Nic Turner
Government Legal Profession,false,,,,,,
Government Office for Science,true,3,2,4,1,4,Saorsa-Amatheia Tweedale and Jefferson Welsby
Health and Safety Executive,true,2,2,2,1,2,Saorsa-Amatheia Tweedale and Jefferson Welsby
HM Prison and Probation Service,true,2,3,1,4,5,Nic Turner
HM Revenue & Customs,true,4,1,2,2,5,Ross Starkie
HM Treasury,true,2,4,2,1,4,Saorsa-Amatheia Tweedale and Jefferson Welsby
Home Office,true,2,2,4,1,5,Saorsa-Amatheia Tweedale and Jefferson Welsby
Information Commissionerâ€™s Office,false,,,,,,
Insolvency Service,true,4,3,2,1,4,Saorsa-Amatheia Tweedale and Jefferson Welsby
Intellectual Property Office,false,,,,,,
Independent Parliamentary Standards Authority,true,1,4,2,2,4,Eamon Evans
Land Registry,true,2,2,1,2,2,Nic Turner
Maritime and Coastguard Agency,false,,,,,,
Medicines and Healthcare products Regulatory Agency,true,2,2,2,1,2,Saorsa-Amatheia Tweedale and Jefferson Welsby
Met Office,true,4,3,2,1,4,Saorsa-Amatheia Tweedale and Jefferson Welsby
Ministry of Defence,true,1,3,2,4,5,Eamon Evans
Ministry of Justice,true,2,4,1,3,5,Nic Turner
National Archives,false,,,,,,
National Crime Agency,true,4,2,1,2,5,Nic Turner
Ofcom,false,,,,,,
Office for Students,true,2,3,3,1,3,Saorsa-Amatheia Tweedale and Jefferson Welsby
Office of National Statistics,true,3,3,2,1,3,Saorsa-Amatheia Tweedale and Jefferson Welsby
Office of the Public Guardian,true,2,2,1,2,2,Nic Turner
Ofgem,false,,,,,,
Ofsted,true,4,2,2,1,5,Saorsa-Amatheia Tweedale and Jefferson Welsby
Rural Payments Agency,false,,,,,,
UK Export Finance,false,,,,,,
UK Health Security Agency,true,2,4,3,1,5,Saorsa-Amatheia Tweedale and Jefferson Welsby
